"","item","dispersion","difficulties"
"1","PT_natgov_right_4",0.91133580825,"-1.75, 1.15, 3.80"
"2","PT_natgov_7",0.4252793502875,"-1.63, -0.76, 0.04, 1.00, 2.14, 3.30"
"3","PT_natgov_right_5",0.8199506505,"-1.78, 0.13, 2.08, 4.52"
"4","PT_natgov_4",0.7743336175,"-1.13, 1.00, 3.54"
"5","PT_natgov_2",1.42602048,"0.72"
"6","PT_natgov_10",0.7862646355,"-1.51, -0.89, -0.30, 0.19, 1.06, 1.69, 2.54, 3.68, 4.54"
"7","PT_dntrustgov_4",1.1811099515,"-0.87, 1.34, 3.35"
"8","PT_natgov_11",0.9096936275,"-1.83, -1.35, -0.76, -0.14, 0.41, 1.37, 2.05, 2.98, 4.29, 5.20"
"9","PT_natgov_5",1.081156012,"-1.11, 0.62, 2.29, 4.88"
"10","PT_natgov_info_5",1.13888233225,"-2.38, 0.52, 2.37, 5.16"
