"country","year","item","r","n","survey","cc_rank"
"Germany",1991,"PT_natgov_right_5",1,333.548073520334,"isjp_comb9196",1258
"Germany",1991,"PT_natgov_right_5",2,1057.11641533322,"isjp_comb9196",1258
"Germany",1991,"PT_natgov_right_5",3,1757.81954057659,"isjp_comb9196",1258
"Germany",1991,"PT_natgov_right_5",4,693.993333907702,"isjp_comb9196",1258
"Germany",1991,"PT_natgov_right_5",5,60.2915400560421,"isjp_comb9196",1258
"Germany",1974,"PT_natgov_right_4",1,159,"pa_w1",1258
"Germany",1974,"PT_natgov_right_4",2,879,"pa_w1",1258
"Germany",1974,"PT_natgov_right_4",3,910,"pa_w1",1258
"Germany",1974,"PT_natgov_right_4",4,223,"pa_w1",1258
"Germany",1980,"PT_natgov_right_4",1,30,"pa_w2",1258
"Germany",1980,"PT_natgov_right_4",2,237,"pa_w2",1258
"Germany",1980,"PT_natgov_right_4",3,484,"pa_w2",1258
"Germany",1980,"PT_natgov_right_4",4,120,"pa_w2",1258
"Germany",1984,"PT_natgov_7",1,175.748424066118,"allbus",1258
"Germany",1984,"PT_natgov_7",2,233.166233064992,"allbus",1258
"Germany",1984,"PT_natgov_7",3,414.906080678818,"allbus",1258
"Germany",1984,"PT_natgov_7",4,649.070884335095,"allbus",1258
"Germany",1984,"PT_natgov_7",5,695.005131534193,"allbus",1258
"Germany",1984,"PT_natgov_7",6,500.783151529308,"allbus",1258
"Germany",1984,"PT_natgov_7",7,232.666947769349,"allbus",1258
"Germany",1985,"PT_natgov_right_4",1,183.957015542321,"eb24",1258
"Germany",1985,"PT_natgov_right_4",2,385.79607500124,"eb24",1258
"Germany",1985,"PT_natgov_right_4",3,349.622100769776,"eb24",1258
"Germany",1985,"PT_natgov_right_4",4,56.8772362356488,"eb24",1258
"Germany",1992,"PT_natgov_4",1,452.521599282463,"cdcee, cdcee",1258
"Germany",1992,"PT_natgov_4",2,948.996731387064,"cdcee, cdcee",1258
"Germany",1992,"PT_natgov_4",3,640.323057704324,"cdcee, cdcee",1258
"Germany",1992,"PT_natgov_4",4,60.9355795943273,"cdcee, cdcee",1258
"Germany",1994,"PT_natgov_7",1,418.304510592097,"allbus",1258
"Germany",1994,"PT_natgov_7",2,566.161963757488,"allbus",1258
"Germany",1994,"PT_natgov_7",3,677.971135832219,"allbus",1258
"Germany",1994,"PT_natgov_7",4,878.37363595665,"allbus",1258
"Germany",1994,"PT_natgov_7",5,521.068088675412,"allbus",1258
"Germany",1994,"PT_natgov_7",6,300.576632020799,"allbus",1258
"Germany",1994,"PT_natgov_7",7,80.7189778299986,"allbus",1258
"Germany",1997,"PT_natgov_2",1,3421.65005763801,"eb48, eb472",1258
"Germany",1997,"PT_natgov_2",2,3077.14712277233,"eb48, eb472",1258
"Germany",1997,"PT_natgov_4",1,511.424010045043,"wvs_combo",1258
"Germany",1997,"PT_natgov_4",2,1058.87789163925,"wvs_combo",1258
"Germany",1997,"PT_natgov_4",3,379.31448103145,"wvs_combo",1258
"Germany",1997,"PT_natgov_4",4,27.0224036618711,"wvs_combo",1258
"Germany",1998,"PT_natgov_4",1,197.134910779822,"eb501",1258
"Germany",1998,"PT_natgov_4",2,666.287285010249,"eb501",1258
"Germany",1998,"PT_natgov_4",3,929.48827788092,"eb501",1258
"Germany",1998,"PT_natgov_4",4,149.785206780205,"eb501",1258
"Germany",1999,"PT_natgov_2",1,881.433810594846,"eb51",1258
"Germany",1999,"PT_natgov_2",2,879.515835584649,"eb51",1258
"Germany",2000,"PT_natgov_4",1,580.577827386418,"cdcee, cdcee, ases2000",1258
"Germany",2000,"PT_natgov_4",2,2065.92195313206,"cdcee, cdcee, ases2000",1258
"Germany",2000,"PT_natgov_4",3,2115.16048876288,"cdcee, cdcee, ases2000",1258
"Germany",2000,"PT_natgov_4",4,222.10008552797,"cdcee, cdcee, ases2000",1258
"Germany",2000,"PT_natgov_7",1,241.691685070377,"allbus",1258
"Germany",2000,"PT_natgov_7",2,303.676911191862,"allbus",1258
"Germany",2000,"PT_natgov_7",3,429.509111076143,"allbus",1258
"Germany",2000,"PT_natgov_7",4,605.120533522893,"allbus",1258
"Germany",2000,"PT_natgov_7",5,413.42340606858,"allbus",1258
"Germany",2000,"PT_natgov_7",6,128.183876892823,"allbus",1258
"Germany",2000,"PT_natgov_7",7,33.0467903317267,"allbus",1258
"Germany",2001,"PT_natgov_2",1,1817.90795627074,"eb551, eb562",1258
"Germany",2001,"PT_natgov_2",2,1764.40963308516,"eb551, eb562",1258
"Germany",2002,"PT_natgov_2",1,1024.82353393,"eb571",1258
"Germany",2002,"PT_natgov_2",2,756.668236515986,"eb571",1258
"Germany",2002,"PT_natgov_7",1,268.340320587839,"allbus",1258
"Germany",2002,"PT_natgov_7",2,355.785507057621,"allbus",1258
"Germany",2002,"PT_natgov_7",3,601.62573144827,"allbus",1258
"Germany",2002,"PT_natgov_7",4,785.697518924473,"allbus",1258
"Germany",2002,"PT_natgov_7",5,538.268967854751,"allbus",1258
"Germany",2002,"PT_natgov_7",6,205.78167663409,"allbus",1258
"Germany",2002,"PT_natgov_7",7,48.1847583529945,"allbus",1258
"Germany",2003,"PT_natgov_2",1,2487.46575450092,"eb591, eb601",1258
"Germany",2003,"PT_natgov_2",2,1146.13176973118,"eb591, eb601",1258
"Germany",2004,"PT_natgov_10",1,164.643292368803,"ees2004",1258
"Germany",2004,"PT_natgov_10",2,118.155774523494,"ees2004",1258
"Germany",2004,"PT_natgov_10",3,147.210473176812,"ees2004",1258
"Germany",2004,"PT_natgov_10",4,102.659935241724,"ees2004",1258
"Germany",2004,"PT_natgov_10",5,193.697991022122,"ees2004",1258
"Germany",2004,"PT_natgov_10",6,112.344834792831,"ees2004",1258
"Germany",2004,"PT_natgov_10",7,112.344834792831,"ees2004",1258
"Germany",2004,"PT_natgov_10",8,102.659935241724,"ees2004",1258
"Germany",2004,"PT_natgov_10",9,15.4958392817697,"ees2004",1258
