"survey","item","variable","values"
"arabb2","PT_natgov_4","q2011","c(4:1)"
"arabb3","PT_natgov_4","q2011","c(4:1)"
"arabb4","PT_natgov_4","q2011","c(4:1)"
"arabb5","PT_natgov_4","q201a_1","c(4:1)"
"asiab2003","PT_natgov_4","q21_a","c(4:1)"
"asiab2004","PT_natgov_4","q26a","c(4:1)"
"asiab2005","PT_natgov_4","q27a","c(4:1)"
"asiab2006","PT_natgov_4","q29a","c(4:1)"
"asiab2007","PT_natgov_4","q30a","c(4:1)"
"asianb1","PT_natgov_4","q008","c(1:4)"
"asianb2","PT_natgov_4","q9","c(1:4)"
"asianb3","PT_natgov_4","q9","c(4:1)"
"asianb4","PT_natgov_4","q9","c(4:1)"
"cdcee","PT_natgov_4","v236","c(4:1)"
"cdcee","PT_natgov_4","v275","c(4:1)"
"neb_combo","PT_natgov_7","a4f","c(1:7)"
"evs_combo","PT_natgov_4","e069_11","c(4:1)"
"evs2017","PT_natgov_4","v131","c(4:1)"
"evs_greece2017","PT_natgov_4","v131","c(4:1)"
"sasianb1","PT_natgov_4","c13a","c(4:1)"
"sasianb2","PT_natgov_4","gb7c","c(4:1)"
"wvs_combo","PT_natgov_4","e069_11","c(4:1)"
"wvs7","PT_natgov_4","q71","c(4:1)"
"wvs7_ethiopia","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_ethiopia","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_ethiopia","PT_natgov_5","q292f","c(5:1)"
"wvs7_iran","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_iran","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_iran","PT_natgov_5","q292f","c(5:1)"
"wvs7_kyrgyzstan","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_kyrgyzstan","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_kyrgyzstan","PT_natgov_5","q292f","c(5:1)"
"wvs7_myanmar","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_myanmar","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_myanmar","PT_natgov_5","q292f","c(5:1)"
"wvs7_nicaragua","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_nicaragua","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_nicaragua","PT_natgov_5","q292f","c(5:1)"
"wvs7_philippines","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_philippines","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_philippines","PT_natgov_5","q292f","c(5:1)"
"wvs7_tajikistan","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_tajikistan","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_tajikistan","PT_natgov_5","q292f","c(5:1)"
"wvs7_vietnam","PT_natgov_right_5","q292d","c(1:5)"
"wvs7_vietnam","PT_natgov_info_5","q292e","c(5:1)"
"wvs7_vietnam","PT_natgov_5","q292f","c(5:1)"
